75,76,58
81,82,76
33,27,32
77,83,81
32,28,34
13,33,34
41,43,38
46,47,43
68,58,67
43,25,42
81,83,77
25,38,37
87,86,74
18,9,19
83,82,62
46,48,44
42,41,37
76,62,77
9,18,19
38,37,25
9,19,18
38,43,41
92,95,96
27,13,28
25,42,43
77,76,62
81,97,96
28,34,32
38,41,43
27,19,25
58,76,75
95,92,96
42,25,43
28,32,34
58,75,76
34,13,33
26,9,27
90,87,92
67,74,75
87,74,86
48,47,32
96,97,81
74,92,91
76,74,68
27,9,26
74,86,87
74,87,86
47,32,48
32,33,27
18,19,9
9,27,26
13,34,33
75,74,67
93,97,95
43,41,38
19,9,18
32,34,28
93,95,97
9,26,27
34,33,13
97,95,93
67,58,68
83,77,81
25,43,42
25,37,38
74,67,75
26,18,25
77,62,76
82,81,76
76,77,62
47,43,46
44,48,46
91,74,92
18,25,26
18,26,25
92,74,91
46,43,47
81,76,82
44,46,48
28,13,27
41,37,42
62,77,76
76,58,75
97,93,95
74,68,76
41,38,43
38,25,37
86,90,91
86,91,90
82,62,83
34,32,28
81,96,97
95,93,97
25,18,26
27,25,19
32,44,43
43,44,32
97,81,96
90,91,86
81,92,93
46,44,48
68,67,58
76,81,82
76,82,81
81,77,83
43,42,25
62,82,83
91,92,74
91,90,86
19,18,9
27,32,33
67,68,58
75,58,76
82,83,62
74,91,92
25,19,27
96,95,92
37,41,42
37,42,41
33,32,27
43,32,44
27,28,13
42,43,25
86,74,87
43,38,41
48,46,44
67,75,74
91,86,90
74,76,68
68,76,74
92,90,87
13,28,27
48,44,46
27,26,9
62,76,77
75,67,74
33,13,34
68,74,76
32,47,48
42,37,41
86,87,74
43,47,46
96,81,97
48,32,47
62,83,82
41,42,37
32,43,44
25,26,18
27,33,32
43,46,47
82,76,81
92,87,90
25,27,19
47,46,43
90,92,87
95,96,92
33,34,13
44,43,32
92,93,81
37,38,25
95,97,93
77,81,83
93,81,92
87,92,90
92,96,95
92,91,74
34,28,32
26,27,9
76,75,58
87,90,92
76,68,74
90,86,91
44,32,43
26,25,18
74,75,67
19,27,25
96,92,95
83,81,77
32,48,47
13,27,28
83,62,82
81,93,92
47,48,32
28,27,13
37,25,38
92,81,93
93,92,81
97,96,81
58,67,68
58,68,67
32,27,33
19,25,27
