x1,x2
4.0,0.0
23.0,0.0
33.0,0.0
71.0,0.0
81.0,0.0
89.0,0.0
99.0,0.0
101.0,0.0
111.0,0.0
113.0,0.0
123.0,0.0
125.0,0.0
135.0,0.0
137.0,0.0
147.0,0.0
149.0,0.0
159.0,0.0
278.0,0.0
304.0,0.0
336.0,0.0
349.0,0.0
354.0,0.0
367.0,0.0
408.0,0.0
421.0,0.0
436.0,0.0
445.0,0.0
454.0,0.0
463.0,0.0
472.0,0.0
481.0,0.0
490.0,0.0
499.0,0.0
508.0,0.0
517.0,0.0
525.0,0.0
538.0,0.0
712.0,0.0
767.0,0.0
879.0,0.0
892.0,0.0
902.0,0.0
911.0,0.0
920.0,0.0
929.0,0.0
938.0,0.0
947.0,0.0
956.0,0.0
965.0,0.0
974.0,0.0
983.0,0.0
1170.0,0.0
1211.0,0.0
1297.0,0.0
1316.0,0.0
1325.0,0.0
1342.0,0.0
1351.0,0.0
1360.0,0.0
1369.0,0.0
1378.0,0.0
1387.0,0.0
1395.0,0.0
1408.0,0.0
1414.0,0.0
1422.0,0.0
1435.0,0.0
1618.0,0.0
1665.0,0.0
1731.0,0.0
1744.0,0.0
1759.0,0.0
1773.0,0.0
1782.0,0.0
1808.0,0.0
1817.0,0.0
1826.0,0.0
1835.0,0.0
1844.0,0.0
1853.0,0.0
1858.0,0.0
1867.0,0.0
1880.0,0.0
2184.0,0.0
2197.0,0.0
2202.0,0.0
2215.0,0.0
2221.0,0.0
2265.0,0.0
2278.0,0.0
2283.0,0.0
2296.0,0.0
2302.0,0.0
2311.0,0.0
2324.0,0.0
2333.0,0.0
2620.0,0.0
2637.0,0.0
2650.0,0.0
2656.0,0.0
2674.0,0.0
2682.0,0.0
2692.0,0.0
2711.0,0.0
2719.0,0.0
2728.0,0.0
2736.0,0.0
2749.0,0.0
2755.0,0.0
2768.0,0.0
2777.0,0.0
2997.0,0.0
3010.0,0.0
3055.0,0.0
3073.0,0.0
3086.0,0.0
3091.0,0.0
3100.0,0.0
3109.0,0.0
3122.0,0.0
3127.0,0.0
3140.0,0.0
3155.0,0.0
3168.0,0.0
3172.0,0.0
3185.0,0.0
3194.0,0.0
3199.0,0.0
3208.0,0.0
3221.0,0.0
3459.0,0.0
3470.0,0.0
3508.0,0.0
3521.0,0.0
3526.0,0.0
3539.0,0.0
3544.0,0.0
3557.0,0.0
3566.0,0.0
3575.0,0.0
3580.0,0.0
3593.0,0.0
3598.0,0.0
3609.0,0.0
3616.0,0.0
3625.0,0.0
3638.0,0.0
3643.0,0.0
3652.0,0.0
3665.0,0.0
3674.0,0.0
3912.0,0.0
3923.0,0.0
3943.0,0.0
3961.0,0.0
3974.0,0.0
3979.0,0.0
3992.0,0.0
3997.0,0.0
4010.0,0.0
4015.0,0.0
4024.0,0.0
4033.0,0.0
4046.0,0.0
4052.0,0.0
4064.0,0.0
4069.0,0.0
4082.0,0.0
4091.0,0.0
4096.0,0.0
4109.0,0.0
4118.0,0.0
4347.0,0.0
4360.0,0.0
4365.0,0.0
4376.0,0.0
4381.0,0.0
4387.0,0.0
4396.0,0.0
4409.0,0.0
4414.0,0.0
4427.0,0.0
4432.0,0.0
4445.0,0.0
4450.0,0.0
4463.0,0.0
4468.0,0.0
4481.0,0.0
4490.0,0.0
4499.0,0.0
4505.0,0.0
4513.0,0.0
4522.0,0.0
4535.0,0.0
4540.0,0.0
4549.0,0.0
4562.0,0.0
4613.0,0.0
4622.0,0.0
4650.0,0.0
4704.0,0.0
4818.0,0.0
4829.0,0.0
4834.0,0.0
4844.0,0.0
4853.0,0.0
4862.0,0.0
4867.0,0.0
4880.0,0.0
4885.0,0.0
4898.0,0.0
4903.0,0.0
4916.0,0.0
4921.0,0.0
4934.0,0.0
4958.0,0.0
4966.0,0.0
4979.0,0.0
4988.0,0.0
4993.0,0.0
5006.0,0.0
5015.0,0.0
5070.0,0.0
5079.0,0.0
5098.0,0.0
5103.0,0.0
5112.0,0.0
5121.0,0.0
5130.0,0.0
5139.0,0.0
5152.0,0.0
5157.0,0.0
5235.0,0.0
5248.0,0.0
5271.0,0.0
5282.0,0.0
5287.0,0.0
5297.0,0.0
5302.0,0.0
5320.0,0.0
5333.0,0.0
5338.0,0.0
5351.0,0.0
5356.0,0.0
5369.0,0.0
5374.0,0.0
5387.0,0.0
5392.0,0.0
5411.0,0.0
5419.0,0.0
5432.0,0.0
5437.0,0.0
5459.0,0.0
5508.0,0.0
5521.0,0.0
5551.0,0.0
5560.0,0.0
5569.0,0.0
5578.0,0.0
5587.0,0.0
5592.0,0.0
5605.0,0.0
5688.0,0.0
5701.0,0.0
5707.0,0.0
5716.0,0.0
5725.0,0.0
5740.0,0.0
5750.0,0.0
5755.0,0.0
5768.0,0.0
5773.0,0.0
5786.0,0.0
5791.0,0.0
5804.0,0.0
5822.0,0.0
5840.0,0.0
5858.0,0.0
5864.0,0.0
5872.0,0.0
5885.0,0.0
5891.0,0.0
5903.0,0.0
5961.0,0.0
5974.0,0.0
6040.0,0.0
6045.0,0.0
6054.0,0.0
6063.0,0.0
6072.0,0.0
6108.0,0.0
6142.0,0.0
6151.0,0.0
6160.0,0.0
6173.0,0.0
6182.0,0.0
6189.0,0.0
6193.0,0.0
6203.0,0.0
6208.0,0.0
6221.0,0.0
6226.0,0.0
6239.0,0.0
6244.0,0.0
6257.0,0.0
6298.0,0.0
6307.0,0.0
6316.0,0.0
6338.0,0.0
6348.0,0.0
6462.0,0.0
6493.0,0.0
6502.0,0.0
6511.0,0.0
6520.0,0.0
6534.0,0.0
6556.0,0.0
6570.0,0.0
6587.0,0.0
6595.0,0.0
6608.0,0.0
6617.0,0.0
6626.0,0.0
6631.0,0.0
6646.0,0.0
6656.0,0.0
6661.0,0.0
6674.0,0.0
6679.0,0.0
6692.0,0.0
6697.0,0.0
6710.0,0.0
6751.0,0.0
